,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Otwarcie_eah_d,Najwyzszy_eah_d,Najnizszy_eah_d,Zamkniecie_eah_d,Wolumen_eah_d,Otwarcie_mon_d,Najwyzszy_mon_d,Najnizszy_mon_d,Zamkniecie_mon_d,Wolumen_mon_d,Otwarcie_woj,Najwyzszy_woj,Najnizszy_woj,Zamkniecie_woj,Wolumen_woj,Otwarcie_pum_de_d,Najwyzszy_pum_de_d,Najnizszy_pum_de_d,Zamkniecie_pum_de_d,Wolumen_pum_de_d,Otwarcie_wig20_d,Najwyzszy_wig20_d,Najnizszy_wig20_d,Zamkniecie_wig20_d,Wolumen_wig20_d,Otwarcie_swig80_d,Najwyzszy_swig80_d,Najnizszy_swig80_d,Zamkniecie_swig80_d,Wolumen_swig80_d,Otwarcie_boss_de_d,Najwyzszy_boss_de_d,Najnizszy_boss_de_d,Zamkniecie_boss_de_d,Wolumen_boss_de_d,Otwarcie_ads_de_d,Najwyzszy_ads_de_d,Najnizszy_ads_de_d,Zamkniecie_ads_de_d,Wolumen_ads_de_d,Otwarcie_wig_d,Najwyzszy_wig_d,Najnizszy_wig_d,Zamkniecie_wig_d,Wolumen_wig_d,Otwarcie_nke_us_d,Najwyzszy_nke_us_d,Najnizszy_nke_us_d,Zamkniecie_nke_us_d,Wolumen_nke_us_d
Otwarcie_mon_d,0.55268592649227,0.551065908762946,0.5553203382463279,0.5548296471490602,-0.3521937155395044,-0.07654500551175586,-0.07884204564733358,-0.07226183471057267,-0.07312735030878217,-0.0005030982000123702,1.0,0.9995182389958998,0.999490523001837,0.9991716123023857,-0.07244561463082393,0.5398290253088316,0.5278450397202389,0.5703157110424946,0.5639885546345861,0.0021638025918528786,0.34985526745373535,0.3491322296336123,0.35193353055574267,0.35097647277544364,-0.59246961177039,0.15117319063770476,0.1469120345825925,0.15678766714765405,0.15210515498363134,-0.13073754157328113,-0.33189719765339587,-0.3341965714048464,-0.32718460968731905,-0.32990656635096793,-0.09601357128061916,0.6225320815405014,0.6214201534275666,0.619474982214992,0.619339611369218,-0.24374871486418168,-0.8126322818435604,-0.8173132595131642,-0.8086494681980748,-0.8127445585650784,0.2010545240193391,-0.3612302557143999,-0.3699253717149079,-0.35047663609801,-0.3597060777205751,-0.07397642710626388,-0.7651248666074806,-0.7671165261342651,-0.7634024771608453,-0.7654476585929912,0.21859926025917573
Najwyzszy_mon_d,0.5509917104269293,0.5494914877642363,0.5536999047203172,0.5533687370172732,-0.348834823717449,-0.0751835020524496,-0.07740690830416784,-0.0708667423538569,-0.07165015141543898,-0.0007518952286280705,0.9995182389958998,1.0,0.9993394726657857,0.9996621467671457,-0.062475571210238445,0.5412619090870932,0.5297053403442045,0.5717363686199322,0.5658884416380525,0.003649285321652609,0.34879384909210764,0.3481156175560659,0.3508833530485504,0.34994198327889553,-0.5913274612651583,0.1496470191593091,0.14560833628507674,0.15534604127950963,0.1508314600963418,-0.12918679755135637,-0.33225303043056686,-0.334430948718122,-0.3274784849537168,-0.33008772655463964,-0.09652336280339079,0.6232753552570433,0.6222671238982596,0.6202454710740388,0.6201837593978229,-0.24292105151666307,-0.8141420436715913,-0.8187495369443444,-0.8101733223265872,-0.8142096306103439,0.2024452929396748,-0.3628017623099539,-0.3712823898293878,-0.35196753027212563,-0.3610342302069795,-0.07269878893498712,-0.7648991035464819,-0.7668794666840711,-0.7632075518067277,-0.7652326778059232,0.21816597549669473
Najnizszy_mon_d,0.5522111886583975,0.5506202986990674,0.5549667464094854,0.5545039401774772,-0.3528627026978568,-0.07582411324818288,-0.07807243160103026,-0.07149102612270732,-0.07233922869052152,-0.0012204615623667137,0.999490523001837,0.9993394726657857,1.0,0.9995318974766934,-0.07588785738265681,0.5393263931922445,0.5275415051032658,0.5702992657482963,0.563926725552017,0.002461780224222985,0.3495666212567854,0.3488423523548572,0.3516721699931942,0.3507206333191537,-0.5925240180043454,0.15168638699429413,0.1475779883134447,0.1576376257326173,0.15301516389917522,-0.1325384371557798,-0.33047699445862344,-0.33272304483264026,-0.32554609967133397,-0.32826512134720337,-0.09705766562637534,0.6221627763079332,0.6211043545539826,0.619174717129528,0.6190986795238834,-0.24461476403764573,-0.8121130912373135,-0.8167632987906304,-0.8080876750516618,-0.8121871775640627,0.1996099321357122,-0.3600873056062322,-0.368657564203794,-0.34902923129735836,-0.35820502309853325,-0.07583848559337528,-0.764014613407496,-0.7660420628950142,-0.7622838696696734,-0.764358953540904,0.2173245686279681
Zamkniecie_mon_d,0.5515788411035346,0.5500845552586505,0.5543804187804738,0.5541054163718665,-0.35091434344189115,-0.0747433248244414,-0.07696664004308976,-0.07040535012730995,-0.07119945894824865,-0.001825934796532685,0.9991716123023857,0.9996621467671457,0.9995318974766934,1.0,-0.06704418681019472,0.5404833807902303,0.5290104203124435,0.5713069819748622,0.5653852922701754,0.003673082470629642,0.34920115020264453,0.34851926925656757,0.35132454249378886,0.3503843991622884,-0.5918631717438279,0.15103000807073585,0.14709460765862764,0.1570068626034384,0.15256870164020236,-0.13067540806245018,-0.33108710736189956,-0.333236142931372,-0.32615046119898644,-0.32874466541219577,-0.09666064802877028,0.6235560283239264,0.6225708471557398,0.6206163385959091,0.6205994292178922,-0.24416975447237882,-0.8136547351786024,-0.8182602872877469,-0.8096379159472962,-0.8136841736138286,0.20100730650203835,-0.36120726448945045,-0.3696133436670295,-0.3501160433914642,-0.35912320406163095,-0.07425914064887691,-0.7644460923662495,-0.7664600066129911,-0.7627360843710425,-0.7647950510672922,0.2160139336273645
Wolumen_mon_d,-0.07809414693235124,-0.07592089879967717,-0.07750725435791316,-0.07486082895384001,0.273491377147694,-0.05698193686496243,-0.0529231487085695,-0.0576747983503938,-0.05328042183764865,0.1292860670823264,-0.07244561463082393,-0.062475571210238445,-0.07588785738265681,-0.06704418681019472,1.0,0.020819598268158254,0.02283364495874828,0.01278808094153574,0.018133328656656292,0.0475201130058009,-0.12101717324605979,-0.121130004511948,-0.1201958131816437,-0.12094264328648252,0.02948531265945087,-0.045366684141775755,-0.041662435409253636,-0.046406316857126095,-0.04294301514801924,0.1469112428503599,0.054301882618510884,0.056203624828779636,0.053705812771591525,0.05606082818167122,0.06791413005642799,-0.1564634450033617,-0.1555764173804464,-0.15599746448228993,-0.15547953700345765,0.07289861970242671,0.08737844134092915,0.08856142467520993,0.08656585485248855,0.0874225391954466,0.013973743921098378,-0.028597990246442627,-0.024670144828376463,-0.029913357717475827,-0.026095598216336776,0.185082498997973,0.08470943325086415,0.08329327374429708,0.0834420243703034,0.08260471772796284,-0.030615524997772835
Otwarcie_woj,0.021545044355875228,0.01972051304183752,0.023951592701430505,0.022388576234609162,-0.1715499593518738,0.20240153128904975,0.19804999613705082,0.2082307926003306,0.20483245752585352,-0.07157199841403732,0.5398290253088316,0.5412619090870932,0.5393263931922445,0.5404833807902303,0.020819598268158254,1.0,0.9891492493723198,0.9868570460594717,0.9820285316219142,0.33512917740808273,-0.15106590115627005,-0.1514165530648,-0.15040339384543522,-0.15100424788523256,-0.12996903185247874,0.029109899239210955,0.024904614793366055,0.029474801485800825,0.02556841973228756,-0.11222518245623046,0.03702676665989775,0.03608802523103283,0.039203739521915214,0.03796504513549969,-0.14038996152708644,0.49953234575870237,0.4995478575019759,0.49614687119401724,0.49743260959369223,-0.11984972909973032,-0.5350054124719656,-0.5365498737259888,-0.5352625876059458,-0.5362968612227351,0.15067986260431523,-0.16069700620839994,-0.1649598037502093,-0.15842023934356242,-0.1625014680170709,-0.1111973229594121,-0.24464982994465087,-0.24624701432533105,-0.24391624225316647,-0.24551473230541557,-0.025050250102358732
Najwyzszy_woj,0.016676056665559838,0.015147632176950738,0.01902169341000586,0.01777538341221492,-0.15901516557882883,0.20775135002498823,0.20349350804201866,0.21329939304559684,0.20992227720581358,-0.07194644272545048,0.5278450397202389,0.5297053403442045,0.5275415051032658,0.5290104203124435,0.02283364495874828,0.9891492493723198,1.0,0.9783193751583923,0.9892252473147273,0.4077314479668551,-0.14092677678381466,-0.141188839054639,-0.1402889603509358,-0.14084523947963942,-0.12151237670874677,0.02570694780208298,0.022112377745263763,0.02583519636962987,0.0224121188948313,-0.101348939487041,0.036437297681132366,0.0358468745081676,0.03855654509094416,0.03766343847053655,-0.12349449696152597,0.5004588958615012,0.5008619969033691,0.49716615754783094,0.49866221475992634,-0.11669497006377638,-0.5319741774134085,-0.5333001238569915,-0.532337736429619,-0.5333134073865007,0.15547762058628478,-0.15750821874622797,-0.16108339010020542,-0.15550589776475165,-0.159077420281223,-0.09926483125314185,-0.23727161912705763,-0.23870517777099656,-0.23675864555557335,-0.23818131017478467,-0.02400896617424815
Najnizszy_woj,0.06274544783388256,0.06089661456204456,0.06555693094909845,0.06407999146656854,-0.19048477039289424,0.18963037629982488,0.1852506282832167,0.19615181469598827,0.1926257787000505,-0.06990814777058496,0.5703157110424946,0.5717363686199322,0.5702992657482963,0.5713069819748622,0.01278808094153574,0.9868570460594717,0.9783193751583923,1.0,0.9880469139927144,0.2941519759161043,-0.12217362674858821,-0.12261860468138332,-0.1213585766731239,-0.12201008556015104,-0.16657176017330014,0.0575157533324328,0.052956491863723004,0.05947622901939909,0.055026994007262534,-0.13658275358969477,0.013433770035075617,0.012385350712200177,0.01673251191159956,0.01508359977326676,-0.16041454703035937,0.5276742007216674,0.527403608935208,0.5246979406877909,0.5257175627854824,-0.1455682502772287,-0.5491283469864249,-0.5513353840339449,-0.5487273275632109,-0.5504112188980966,0.13519821594820847,-0.15709331801354648,-0.16205166770872081,-0.15279922881799698,-0.157866736660524,-0.13581074370059,-0.27915263579536137,-0.2809587065722132,-0.2779459287909672,-0.2797444354473687,-0.025715463835485324
Zamkniecie_woj,0.0566742572005657,0.05518316283028119,0.05951606077034091,0.05842263890551383,-0.1801323896986607,0.1912733455611972,0.18701728404258278,0.19735635903798962,0.1939149885412421,-0.07049677407800962,0.5639885546345861,0.5658884416380525,0.563926725552017,0.5653852922701754,0.018133328656656292,0.9820285316219142,0.9892252473147273,0.9880469139927144,1.0,0.3447620542145822,-0.11460482553732766,-0.11496173002264648,-0.11377010007449763,-0.11439532261176683,-0.16055951110405015,0.047705132111737054,0.043782816427947006,0.04930847600033214,0.04550108843916743,-0.12441786770133893,0.012886583945013097,0.012220537978563897,0.016098404261279876,0.014814879713933658,-0.1430735801508165,0.5250151206999729,0.5249947527153187,0.521966683292078,0.5230516521829018,-0.14187440488797887,-0.5476564312238182,-0.5497217930090986,-0.5474370881962889,-0.5490128854487024,0.13823576941765064,-0.16213042575070838,-0.16640572272798124,-0.1582621677651879,-0.16266163013651116,-0.12260008204429981,-0.2732822983832168,-0.2749305859440624,-0.2721731104605623,-0.2738396892392381,-0.02464107391758738
Wolumen_woj,-0.10648964980745314,-0.10649994935513689,-0.1059874103932238,-0.10545435018348387,0.037167775057462375,0.11039660547660449,0.11028243679382926,0.1105255422295622,0.11023249420935213,0.0003954231020689446,0.0021638025918528786,0.003649285321652609,0.002461780224222985,0.003673082470629642,0.0475201130058009,0.33512917740808273,0.4077314479668551,0.2941519759161043,0.3447620542145822,1.0,-0.08622036583094457,-0.08634588926196742,-0.08669804648191246,-0.08696283597306646,0.07726087586187291,-0.037578763406437656,-0.03590713152664032,-0.04102697821681977,-0.03884358226289514,0.06597203556717172,0.13315721338117065,0.13417231915989128,0.13231172787274773,0.13390267115644586,0.12152457472658147,0.06553211505306974,0.06745832412653903,0.06402411023713295,0.06570145861303753,0.03022362536334045,-0.09352041422923335,-0.09186321239075759,-0.09580193588671941,-0.09475614178582412,0.05388591996809464,0.033539493803961345,0.036134933976018614,0.029287855784969848,0.0326777281809025,0.0897985495964773,0.06532188568339145,0.06563597566260745,0.06405737172711787,0.06487534291094389,-0.037467825690481966
